variant,task,role,paper_label,horizon,rmse,mae,mape,delta_rmse_vs_full,delta_mae_vs_full,delta_mape_vs_full,best_epoch,completed_epochs,stopped_early
gap_full_control,GAP,full,Full ST-GAPV (controlled),15min,20.163279876522324,7.119380566484849,12.636515691640605,0.0,0.0,0.0,170,190,True
gap_full_control,GAP,full,Full ST-GAPV (controlled),30min,23.957070787543355,8.480461071914172,17.6777053172988,0.0,0.0,0.0,170,190,True
gap_full_control,GAP,full,Full ST-GAPV (controlled),60min,28.763173436422303,10.30792075075571,18.908345553032415,0.0,0.0,0.0,170,190,True
gap_no_adaptive,GAP,ablation,Full - Adaptive Node-Relation Encoder,15min,21.706522544607527,7.452454383384217,15.938086593016319,1.5432426680852025,0.3330738168993683,3.3015709013757135,124,144,True
gap_no_adaptive,GAP,ablation,Full - Adaptive Node-Relation Encoder,30min,24.129217797490192,8.67073710990787,18.93344148237777,0.17214700994683696,0.19027603799369786,1.2557361650789716,124,144,True
gap_no_adaptive,GAP,ablation,Full - Adaptive Node-Relation Encoder,60min,30.058965674960216,10.926674860428028,24.690331598507765,1.2957922385379135,0.6187541096723184,5.78198604547535,124,144,True
gap_single_st_block,GAP,ablation,Full - Second ST Block,15min,21.880422204051083,7.417903752929339,16.198975800470258,1.7171423275287587,0.2985231864444904,3.5624601088296526,192,200,False
gap_single_st_block,GAP,ablation,Full - Second ST Block,30min,24.453453784566637,8.377925088817669,16.84797488906686,0.49638299702328226,-0.10253598309650336,-0.8297304282319367,192,200,False
gap_single_st_block,GAP,ablation,Full - Second ST Block,60min,29.14387022409624,10.205001298062774,21.51274138622544,0.3806967876739371,-0.10291945269293556,2.604395833193024,192,200,False
gap_no_fixed_graph,GAP,ablation,Full - Fixed Physical-Graph Encoder,15min,22.190193261280793,8.302433755469893,18.236952876631133,2.026913384758469,1.1830531889850446,5.600437184990527,91,111,True
gap_no_fixed_graph,GAP,ablation,Full - Fixed Physical-Graph Encoder,30min,23.767098505298126,8.96588446293571,20.46503945341031,-0.189972282245229,0.48542339102153775,2.787334136111511,91,111,True
gap_no_fixed_graph,GAP,ablation,Full - Fixed Physical-Graph Encoder,60min,31.848622630570063,11.813869787170535,25.874219982777888,3.0854491941477598,1.505949036414826,6.965874429745472,91,111,True
v_full_control,V,full,Full ST-GAPV (controlled),15min,1.8860875273722737,1.0671484232366217,5.1288408539462145,0.0,0.0,0.0,307,327,True
v_full_control,V,full,Full ST-GAPV (controlled),30min,1.9054559828825255,1.0663167572345982,5.140210552716438,0.0,0.0,0.0,307,327,True
v_full_control,V,full,Full ST-GAPV (controlled),60min,1.9229919722859745,1.0868204575319595,5.244519980412986,0.0,0.0,0.0,307,327,True
v_no_adaptive,V,ablation,Full - Adaptive Edge-Relation Encoder,15min,2.701669934918942,1.47872408705455,6.878589564569605,0.8155824075466684,0.4115756638179282,1.7497487106233907,410,430,True
v_no_adaptive,V,ablation,Full - Adaptive Edge-Relation Encoder,30min,2.7493583654068128,1.4981784467150696,6.991823546963335,0.8439023825242873,0.43186168948047143,1.8516129942468975,410,430,True
v_no_adaptive,V,ablation,Full - Adaptive Edge-Relation Encoder,60min,2.7675722010429906,1.52492173474719,7.117788263413791,0.8445802287570161,0.4381012772152304,1.8732682830008054,410,430,True
v_single_st_block,V,ablation,Full - Second ST Block,15min,2.3121846624686895,1.2611559743745435,5.989480300817737,0.4260971350964158,0.19400755113792179,0.8606394468715228,350,370,True
v_single_st_block,V,ablation,Full - Second ST Block,30min,2.2995228516325215,1.2613260206846264,5.9937808782165085,0.39406686874999597,0.19500926345002823,0.8535703255000708,350,370,True
v_single_st_block,V,ablation,Full - Second ST Block,60min,2.365109936985609,1.3081902017741285,6.224413198358042,0.4421179646996345,0.22136974424216893,0.9798932179450563,350,370,True
v_no_fixed_graph,V,ablation,Full - Fixed Line-Graph Encoder,15min,2.2457857402827246,1.2379270692181579,5.896260727056506,0.3596982129104509,0.17077864598153614,0.7674198731102919,313,333,True
v_no_fixed_graph,V,ablation,Full - Fixed Line-Graph Encoder,30min,2.214666292525344,1.2327249091365355,5.895734897455273,0.3092103096428187,0.16640815190193736,0.7555243447388351,313,333,True
v_no_fixed_graph,V,ablation,Full - Fixed Line-Graph Encoder,60min,2.31155920763863,1.2790605307429457,6.133001990765569,0.3885672353526557,0.19224007321098613,0.8884820103525835,313,333,True
