task,dataset,horizon,rmse,mae,mape,source
GAP,Shanghai,15min,5.534,2.306,29.419,FGRD_latest_main_20260801_Table_IV
GAP,Shanghai,30min,6.302,2.555,30.973,FGRD_latest_main_20260801_Table_IV
GAP,Shanghai,60min,7.146,2.871,27.062,FGRD_latest_main_20260801_Table_IV
GAP,NYC,15min,21.962,7.035,13.554,FGRD_latest_main_20260801_Table_IV
GAP,NYC,30min,22.406,8.810,19.247,FGRD_latest_main_20260801_Table_IV
GAP,NYC,60min,31.514,11.126,29.791,FGRD_latest_main_20260801_Table_IV
GAP,Chengdu,15min,18.607,5.118,56.040,FGRD_latest_main_20260801_Table_IV
GAP,Chengdu,30min,24.859,8.020,72.449,FGRD_latest_main_20260801_Table_IV
GAP,Chengdu,60min,27.113,9.860,73.382,FGRD_latest_main_20260801_Table_IV
V,NYC,15min,1.283,0.351,2.192,FGRD_latest_main_20260801_Table_V
V,NYC,30min,1.284,0.352,2.196,FGRD_latest_main_20260801_Table_V
V,NYC,60min,1.286,0.353,2.202,FGRD_latest_main_20260801_Table_V
V,METR-LA,15min,4.959,2.785,6.707,FGRD_latest_main_20260801_Table_V
V,METR-LA,30min,5.783,3.200,8.130,FGRD_latest_main_20260801_Table_V
V,METR-LA,60min,6.621,3.675,9.773,FGRD_latest_main_20260801_Table_V
V,PEMS-BAY,15min,2.646,1.333,2.718,FGRD_latest_main_20260801_Table_V
V,PEMS-BAY,30min,3.366,1.640,3.537,FGRD_latest_main_20260801_Table_V
V,PEMS-BAY,60min,3.860,1.905,4.206,FGRD_latest_main_20260801_Table_V
